Ligne,Semaine,Famille,Tonnage_T
PK,1,CRC,590.84
PK,1,HDG,2925.0
PK,1,PPGI,1510.0
PK,1,BACR,390.0
PK,2,CRC,284.0
PK,2,HDG,2209.81
PK,2,PPGI,1211.0
PK,2,BACR,162.0
PK,3,CRC,1203.87
PK,3,HDG,1249.0
PK,3,PPGI,366.0
PK,3,BACR,203.0
PK,3,HRC DEC,475.0
PK,4,CRC,1011.0
PK,4,HDG,741.0
PK,4,PPGI,130.0
PK,4,BACR,132.0
PK,4,HRC DEC,135.0
CRMB,1,CRC,599.84
CRMB,1,HDG,2969.54
CRMB,1,PPGI,1532.99
CRMB,1,BACR,395.94
CRMB,2,CRC,288.32
CRMB,2,HDG,2243.47
CRMB,2,PPGI,1229.44
CRMB,2,BACR,164.47
CRMB,3,CRC,1222.2
CRMB,3,HDG,1268.02
CRMB,3,PPGI,371.57
CRMB,3,BACR,206.09
CRMB,4,CRC,1026.4
CRMB,4,HDG,752.28
CRMB,4,PPGI,131.98
CRMB,4,BACR,134.01
BAF,1,CRC,618.39
BAF,1,BACR,188.59
BAF,2,CRC,297.24
BAF,3,CRC,1260.0
BAF,4,CRC,1058.14
SKP,1,CRC,624.64
SKP,2,CRC,300.24
SKP,3,CRC,1272.73
SKP,4,CRC,1068.83
LGA,1,PPGI,1580.41
LGA,1,BACR,219.59
LGA,2,PPGI,1267.47
LGA,2,BACR,169.55
LGA,3,PPGI,383.07
LGA,3,BACR,212.47
LGA,4,PPGI,136.06
LGA,4,BACR,138.15
LGB,1,HDG,3061.38
LGB,1,BACR,190.5
LGB,2,HDG,2312.85
LGB,3,HDG,1307.24
LGB,4,HDG,775.55
