Contrainte,Shadow_Price_MAD
cap_time_LGA_S1,750530.47
cap_time_BAF_S3,324111.29
dem_CMD_042,4740.09
dem_CMD_020,4692.71
dem_CMD_028,4520.03
dem_CMD_054,4211.49
dem_CMD_022,3014.09
dem_CMD_040,3013.11
dem_CMD_029,2726.29
dem_CMD_049,2662.55
dem_CMD_057,2660.49
dem_CMD_025,2468.49
hrc_S320,2322.78
dem_CMD_006,2156.86
dem_CMD_064,1927.57
dem_CMD_063,1745.71
dem_CMD_013,1703.37
dem_CMD_038,1557.96
no_cadence_PK_S4_HRC_DEC_x_49_HRC_DEC,627.1
dem_CMD_008,416.58
no_cadence_PK_S3_HRC_DEC_x_34_HRC_DEC,386.16
